,carat,cut_ord,clarity_ord,Predicted Price,cut,color,clarity
171,1.22,5,4,8868.0,Ideal,G,VS1
172,0.37,4,3,833.0,Premium,E,SI1
173,0.3,4,3,533.0,Premium,H,SI1
174,0.54,4,3,1545.0,Premium,E,SI1
175,0.37,5,5,911.09,Ideal,E,VS2
176,1.5,4,6,17203.0,Premium,E,VVS2
177,0.62,3,5,1861.0,Very Good,G,VS2
178,1.33,4,2,5437.0,Premium,H,SI2
179,1.51,3,2,6171.0,Very Good,J,SI2
180,0.31,5,7,746.5,Ideal,H,WS1
181,0.38,5,2,585.0,Ideal,G,SI2
182,0.31,5,4,538.0,Ideal,I,VS1
183,0.34,4,6,995.0,Premium,G,VVS2
184,0.75,2,2,2492.33,Good,E,SI2
185,0.28,3,6,674.5,Very Good,F,VVS2
186,1.23,3,2,4757.0,Very Good,G,SI2
187,0.75,2,3,2923.0,Good,E,SI1
188,1.11,5,6,6899.5,Ideal,H,VVS2
189,2.07,3,3,15847.0,Very Good,I,SI1
190,1.0,4,3,5648.6,Premium,D,SI1
191,0.79,5,3,3085.67,Ideal,F,SI1
192,0.31,5,4,663.95,Ideal,G,VS1
193,0.31,4,7,651.5,Premium,I,WS1
194,1.0,5,3,4654.8,Ideal,H,SI1
195,0.41,4,4,944.47,Premium,F,VVS2
196,0.51,4,3,1441.4,Premium,E,SI1
197,1.91,3,3,15241.0,Very Good,F,SI1
198,1.19,3,5,8520.0,Good,E,I1
199,0.32,4,7,1035.25,Premium,F,WS1
200,0.55,5,2,1236.4,Ideal,F,SI2
201,0.32,5,8,998.23,Ideal,F,IF
202,1.09,5,2,4701.5,Ideal,G,SI2
203,0.9,3,7,4099.0,Very Good,I,WS1
204,0.74,5,5,3027.5,Ideal,E,VS2
205,0.9,3,5,4337.23,Very Good,G,VS2
206,0.76,5,4,4229.0,Ideal,D,VS1
207,0.73,5,2,2689.2,Ideal,E,SI1
208,0.52,2,3,1243.0,Good,G,SI1
209,0.73,4,3,2821.0,Premium,E,SI1
210,0.76,4,5,2375.0,Premium,I,VS2
211,0.48,2,4,1268.0,Good,F,VS1
212,1.5,1,3,10802.0,Fair,D,SI1
213,0.37,3,3,616.0,Very Good,F,SI1
214,0.43,4,5,1048.0,Premium,E,VS2
215,0.58,5,6,2611.5,Ideal,E,VVS2
216,1.01,5,3,5744.44,Ideal,D,SI1
217,0.28,5,4,479.0,Ideal,H,VS1
218,0.53,3,4,1676.11,Very Good,G,VS1
219,0.9,3,5,3588.16,Very Good,I,VS2
220,0.3,5,7,871.17,Ideal,F,WS1
221,1.51,4,2,8772.5,Premium,D,SI2
222,1.01,4,2,4204.23,Premium,G,SI2
223,0.31,5,5,700.74,Ideal,F,VS2
224,0.66,5,5,2443.0,Ideal,D,VS2
225,0.56,4,3,1764.0,Premium,D,SI1
226,0.28,3,6,607.57,Very Good,E,VVS2
227,0.55,5,2,1236.4,Ideal,F,SI2
228,0.29,5,8,689.0,Ideal,G,IF
229,0.36,5,4,894.35,Ideal,E,VVS2
230,0.31,5,3,644.87,Ideal,D,SI1
231,0.58,3,6,2049.5,Very Good,G,VVS2
232,0.4,4,2,768.75,Premium,D,SI2
233,0.29,5,4,461.75,Ideal,I,VS1
234,0.62,3,4,2243.0,Very Good,E,VS1
235,0.73,5,2,2439.2,Ideal,E,SI1
236,2.01,3,2,11185.33,Very Good,J,SI2
237,0.7,3,1,1160.67,Good,G,I1
238,0.54,2,2,1377.0,Good,D,SI2
239,0.3,1,6,997.0,Fair,D,VVS2
240,0.38,5,7,1063.67,Ideal,H,WS1
241,0.7,4,4,2544.27,Premium,G,VS1
242,0.82,5,2,2937.0,Ideal,E,SI1
243,0.41,5,6,1205.76,Ideal,E,VVS2
244,0.64,5,8,2960.0,Ideal,G,IF
245,1.01,3,4,5222.6,Very Good,H,VS1
246,0.58,3,5,1418.25,Very Good,I,VS2
247,0.34,5,4,864.88,Ideal,D,VS1
248,0.85,5,4,5151.0,Ideal,E,VS1
249,0.91,2,2,3344.2,Ideal,F,SI1
250,0.91,4,2,3302.25,Premium,F,SI1
251,0.5,1,5,1640.25,Fair,E,VS2
252,1.0,4,5,6217.4,Premium,F,VS2
253,1.5,3,3,9888.83,Very Good,G,SI1
254,1.26,5,4,8296.0,Ideal,H,VS1
255,0.35,4,2,620.0,Premium,D,SI2
256,1.09,4,5,4589.0,Premium,I,VS2
257,0.3,5,5,660.79,Ideal,F,VS2
258,0.27,5,4,628.0,Ideal,E,VS1
259,0.32,5,6,890.64,Ideal,E,VVS2
260,1.09,4,4,5058.0,Premium,I,VS1
261,0.4,4,3,826.45,Premium,F,SI1
262,1.04,5,6,9824.0,Ideal,E,VVS2
263,0.51,4,5,1684.31,Premium,E,VS2
264,0.73,5,3,2320.0,Ideal,H,SI1
265,1.01,2,2,3952.75,Good,H,SI2
266,1.34,5,5,9233.0,Ideal,G,VS2
267,0.52,5,6,1948.41,Ideal,G,VVS2
268,1.21,2,4,6748.0,Good,H,VS1
269,0.35,5,4,906.5,Ideal,D,VS1
270,0.7,5,6,3143.2,Ideal,G,IF
271,0.7,4,3,2256.88,Premium,G,SI1
272,0.42,3,3,784.86,Very Good,G,SI1
273,0.38,4,2,812.0,Premium,D,SI2
274,0.3,5,4,664.33,Ideal,G,VS1
275,0.91,4,2,3575.6,Premium,F,SI1
276,1.11,4,3,4871.33,Premium,G,SI1
277,0.3,2,8,925.5,Good,G,IF
278,0.32,5,7,891.92,Ideal,F,WS1
279,0.42,5,5,924.67,Ideal,F,VS2
280,0.54,5,6,2002.35,Ideal,G,VVS2
281,2.03,3,5,16745.0,Very Good,I,VS2
282,0.4,2,5,826.0,Good,F,VS2
283,0.57,4,4,1619.0,Premium,H,VS1
284,0.72,5,7,2249.0,Ideal,J,WS1
285,1.3,4,3,5282.0,Premium,I,SI1
286,1.01,4,5,6708.5,Premium,E,VS2
287,0.39,5,2,683.0,Ideal,G,SI2
288,0.43,5,6,1213.4,Ideal,F,VVS2
289,0.77,4,3,2387.0,Premium,I,VS2
290,0.53,5,7,2717.83,Ideal,F,WS1
291,0.65,3,8,1991.0,Very Good,I,IF
292,0.33,4,2,561.5,Premium,D,SI2
293,1.02,4,2,4234.93,Premium,F,SI2
294,0.31,4,7,944.8,Premium,G,WS1
295,0.36,5,3,621.14,Ideal,F,SI1
296,0.3,3,7,708.62,Very Good,H,WS1
297,0.9,3,2,3238.58,Very Good,H,SI2
298,1.05,5,3,5321.6,Ideal,G,SI1
299,1.5,2,2,8380.25,Good,D,SI2
300,0.9,3,4,4300.88,Very Good,H,VS1
301,0.72,3,3,2587.71,Very Good,E,SI1
302,0.42,4,5,987.0,Premium,G,VS2
303,0.53,4,7,1619.0,Premium,I,WS1
304,0.51,3,3,1267.17,Very Good,F,SI1
305,0.51,5,5,1374.67,Ideal,H,VS2
306,0.86,4,2,2980.0,Premium,F,SI2
307,1.51,4,3,9639.75,Premium,H,SI1
308,0.37,5,4,910.0,Ideal,F,VS1
309,0.56,4,3,1764.0,Premium,D,SI1
310,1.59,4,5,9867.75,Premium,I,VS2
311,0.73,5,3,2320.0,Ideal,H,SI1
312,0.31,5,8,955.22,Ideal,F,IF
313,0.4,3,3,759.73,Very Good,F,SI1
314,0.52,5,5,1694.46,Ideal,F,VS2
315,1.04,4,3,4938.4,Premium,H,SI1
316,1.0,5,4,4249.0,Ideal,J,VS1
317,0.78,5,3,2923.0,Ideal,F,SI1
318,0.76,5,3,2202.0,Ideal,J,SI1
319,0.71,4,5,2840.0,Premium,E,VS2
320,0.9,5,2,3769.11,Ideal,G,SI2
321,1.01,3,2,4425.75,Very Good,E,SI2
322,0.81,3,2,2545.0,Very Good,G,SI2
323,0.36,5,6,919.75,Ideal,F,VVS2
324,0.61,5,2,1182.0,Ideal,I,SI2
325,0.51,5,5,1720.89,Ideal,E,VS2
326,0.24,5,6,678.0,Ideal,E,VVS2
327,0.52,5,8,1798.0,Ideal,H,IF
328,1.0,4,2,3736.73,Premium,H,SI2
329,0.31,5,6,696.09,Ideal,H,VVS2
330,1.08,4,4,5818.0,Premium,H,VS1
331,0.7,2,5,3021.22,Good,D,I1
332,0.3,3,7,789.0,Very Good,F,WS1
333,0.3,5,3,469.83,Ideal,H,SI1
334,0.7,3,5,2502.88,Good,G,I1
335,0.72,5,2,2491.12,Ideal,E,SI1
336,0.3,5,7,697.94,Ideal,H,WS1
337,0.76,4,3,2537.0,Premium,F,SI1
338,0.41,3,3,822.4,Very Good,E,SI1
339,0.41,4,3,877.82,Premium,E,SI1
340,0.4,3,2,729.0,Very Good,D,SI2
341,1.54,2,3,11303.0,Good,E,VS2
342,0.55,5,6,2513.0,Ideal,E,VVS2
343,0.57,5,3,1306.4,Ideal,H,SI1
344,0.53,5,5,1770.91,Ideal,E,VS2
345,0.33,3,5,675.25,Very Good,E,VS2
346,1.53,4,2,11078.0,Premium,D,SI2
347,0.52,5,3,1192.4,Ideal,H,SI1
348,1.01,3,7,9546.71,Very Good,F,WS1
349,0.91,3,3,4499.0,Very Good,E,SI1
350,0.54,4,5,1782.8,Premium,F,VS2
351,0.53,4,3,1176.0,Premium,H,SI1
352,1.02,4,5,5965.69,Premium,G,VS2
353,0.3,4,4,632.6,Premium,H,VS1
354,2.05,5,2,11040.0,Ideal,H,SI2
355,0.3,4,5,831.82,Premium,D,VS2
356,0.3,4,4,632.6,Premium,H,VS1
357,0.9,3,4,3314.75,Very Good,J,VS1
358,2.25,5,2,16575.0,Ideal,I,SI2
359,0.42,5,7,1209.31,Ideal,G,WS1
360,0.7,2,2,2214.4,Good,D,SI2
361,1.2,3,3,5274.91,Very Good,I,SI1
362,1.52,4,3,10086.5,Premium,G,SI1
363,0.33,5,7,938.48,Ideal,G,WS1
364,1.21,4,6,5559.0,Premium,J,VVS2
365,0.23,3,6,507.56,Very Good,E,VVS2
366,0.31,5,6,696.09,Ideal,H,VVS2
367,0.5,5,3,1304.0,Ideal,F,SI1
368,1.01,3,3,4613.27,Very Good,H,SI1
369,0.76,5,5,2799.33,Ideal,H,VS2
370,0.31,4,6,969.2,Premium,E,VVS2
371,1.77,5,2,13026.0,Ideal,D,SI2
372,0.4,3,3,737.45,Very Good,G,SI1
373,0.51,3,5,1438.83,Very Good,G,VS2
374,0.54,5,7,2554.33,Ideal,F,WS1
375,0.3,5,3,514.83,Ideal,F,SI1
376,1.06,5,2,3947.33,Ideal,I,SI2
377,0.81,5,4,4270.0,Ideal,F,VS1
378,0.58,5,3,1788.4,Ideal,D,SI1
379,0.53,2,3,1242.0,Good,H,SI1
380,0.3,3,3,536.17,Very Good,E,SI1
381,1.09,4,3,5335.5,Premium,F,SI1
382,1.17,5,2,4488.0,Ideal,I,SI2
383,1.53,5,5,9913.0,Ideal,I,VS2
384,1.03,2,2,4290.0,Good,E,SI2
385,0.35,4,3,472.0,Premium,H,SI1
386,1.0,3,5,6643.8,Very Good,D,VS2
387,2.01,4,2,15376.0,Premium,G,SI2
388,0.32,4,4,767.46,Premium,G,VS1
389,1.01,5,2,4547.43,Ideal,F,SI2
390,0.4,3,5,887.83,Very Good,D,VS2
391,1.12,4,2,4877.67,Premium,D,SI2
392,1.24,3,6,8405.0,Very Good,H,VVS2
393,0.52,5,5,1703.08,Ideal,E,VS2
394,0.82,3,6,3992.0,Very Good,F,VVS2
395,1.05,2,2,3822.0,Good,G,SI2
396,1.0,3,5,6421.57,Very Good,F,VS2
397,0.81,3,3,2224.0,Very Good,J,SI1
398,1.02,3,4,7590.0,Very Good,E,VS1
399,0.75,1,4,1982.0,Fair,J,VS1
400,0.4,3,2,729.0,Very Good,D,SI2
401,2.04,4,2,18066.0,Premium,F,SI2
402,0.52,5,5,1703.08,Ideal,E,VS2
403,0.8,3,5,3420.0,Very Good,F,VS2
404,1.01,3,4,7035.57,Very Good,F,VS1
405,0.43,4,3,941.33,Premium,E,SI1
406,1.13,4,7,8709.0,Premium,G,WS1
407,0.4,5,8,1319.67,Ideal,F,IF
408,1.05,4,4,7353.5,Premium,G,VS1
409,0.41,2,5,887.67,Ideal,E,VS2
410,1.01,5,5,6447.52,Ideal,G,VS2
411,0.7,1,3,2236.0,Fair,G,SI1
412,0.55,5,7,2315.75,Ideal,G,WS1
413,0.53,5,5,1770.91,Ideal,E,VS2
414,1.16,5,5,9432.0,Ideal,F,VS2
415,0.3,5,4,669.44,Ideal,F,VS1
416,0.7,5,5,2847.12,Ideal,D,I1
417,0.33,3,6,744.67,Very Good,F,VVS2
418,0.71,4,5,2840.0,Premium,E,VS2
419,0.71,4,4,2920.0,Premium,E,VS1
420,0.33,5,8,985.33,Ideal,G,IF
421,1.58,5,3,9316.5,Ideal,I,SI1
422,1.63,4,4,8900.0,Premium,I,VS1
423,0.38,5,8,1402.0,Ideal,E,IF
424,1.29,4,4,6877.0,Premium,I,VVS2
425,1.1,3,2,4142.5,Very Good,I,SI2
426,1.73,4,2,9494.0,Premium,F,SI2
427,1.01,1,3,4077.5,Fair,F,SI1
428,0.41,3,2,722.38,Very Good,E,SI1
429,0.9,4,5,3271.0,Premium,I,VS2
430,0.3,5,4,510.33,Ideal,I,VS1
431,0.27,5,4,628.0,Ideal,E,VS1
432,0.28,3,3,391.0,Very Good,H,SI1
433,1.17,5,5,6324.0,Ideal,H,VS2
434,1.02,4,3,5472.33,Premium,E,SI1
435,0.34,5,7,1052.42,Ideal,E,WS1
436,0.45,2,4,1203.0,Good,F,VS1
437,0.75,5,2,2340.33,Ideal,G,SI2
438,0.31,5,6,791.67,Ideal,F,VVS2
439,0.38,5,6,1164.5,Ideal,D,VVS2
440,0.39,4,5,937.8,Premium,G,VS2
441,0.54,5,3,1412.75,Ideal,G,SI1
442,0.7,4,3,2517.33,Premium,D,SI1
443,0.31,5,8,1106.09,Ideal,E,IF
444,1.21,5,5,8554.71,Ideal,F,VS2
445,0.33,4,4,784.54,Premium,G,VS1
446,1.11,3,4,4545.0,Very Good,J,VS1
447,0.31,5,5,700.74,Ideal,F,VS2
448,0.32,3,5,647.0,Very Good,F,VS2
449,0.28,3,6,607.57,Very Good,E,VVS2
450,2.17,3,2,11088.0,Very Good,H,SI2
451,0.35,2,5,709.0,Good,H,I1
452,0.57,5,7,2828.8,Ideal,F,WS1
453,1.02,5,3,4140.5,Ideal,I,SI1
454,0.77,5,5,2274.5,Ideal,I,VS2
455,0.55,5,2,1236.4,Ideal,F,SI2
456,0.91,4,3,3836.67,Premium,F,SI1
457,1.01,3,5,5937.65,Very Good,G,VS2
458,0.33,5,6,818.43,Ideal,G,VVS2
459,0.9,2,5,3927.0,Good,H,VS2
460,0.31,4,5,604.8,Premium,G,VS2
461,0.3,5,4,757.75,Ideal,D,VS1
462,0.39,5,2,579.4,Ideal,H,SI2
463,0.63,3,4,2241.0,Very Good,G,VS1
464,0.71,5,3,2546.08,Ideal,F,SI1
465,1.02,5,5,6301.79,Ideal,G,VS2
466,0.56,3,5,1139.5,Very Good,J,VS2
467,0.53,5,4,1878.2,Ideal,E,VS1
468,0.92,2,2,3509.33,Good,D,SI2
469,0.3,5,4,664.33,Ideal,G,VS1
470,0.52,3,6,2057.0,Very Good,F,VVS2
471,0.36,5,4,894.35,Ideal,E,VVS2
472,2.02,5,2,14871.5,Ideal,F,SI2
473,0.54,5,5,1966.73,Ideal,D,VS2
474,0.76,3,4,2307.0,Very Good,J,VS1
475,1.21,3,5,8589.0,Very Good,F,VS2
476,0.3,4,5,680.9,Premium,F,VS2
477,0.9,3,3,4164.18,Very Good,E,SI1
478,0.36,5,2,613.0,Ideal,E,SI1
479,0.71,5,3,2334.86,Ideal,I,SI1
480,1.09,5,5,8145.0,Ideal,E,VS2
481,0.31,5,6,860.71,Ideal,D,VVS2
482,0.3,3,4,620.5,Very Good,G,VS1
483,0.4,5,5,723.0,Ideal,I,VS2
484,0.3,5,6,832.06,Ideal,E,VVS2
485,1.7,4,5,13737.0,Premium,F,VS2
486,0.43,3,3,927.75,Very Good,E,SI1
487,0.53,5,6,2169.62,Ideal,F,VVS2
488,0.41,5,4,935.82,Ideal,F,VVS2
489,0.72,4,3,2684.5,Premium,E,SI1
490,1.0,2,5,5531.71,Good,G,VS2
491,0.37,5,6,851.33,Ideal,F,VVS2
492,0.5,3,3,1189.18,Very Good,G,SI1
493,0.31,5,7,837.67,Ideal,G,WS1
494,1.01,3,5,6411.34,Very Good,F,VS2
495,0.33,5,5,807.38,Ideal,E,VS2
496,0.35,2,3,489.5,Good,H,SI1
497,0.3,5,6,832.06,Ideal,E,VVS2
498,0.37,4,5,454.0,Premium,J,VS2
499,1.21,5,5,8247.57,Ideal,G,VS2
500,1.05,5,6,8982.0,Ideal,E,VVS2
501,1.11,4,5,7587.0,Premium,D,VS2
502,0.57,5,5,1999.38,Ideal,D,VS2
503,1.01,3,2,4425.75,Very Good,E,SI2
504,0.51,5,5,1258.0,Ideal,I,VS2
505,0.52,5,4,1712.96,Ideal,G,VS1
506,0.58,5,3,1425.0,Ideal,G,SI1
507,0.26,3,7,587.8,Very Good,E,WS1
508,0.85,1,1,1250.0,Fair,H,I1
509,0.43,5,7,1207.17,Ideal,G,WS1
510,0.25,5,7,582.0,Ideal,G,WS1
511,0.78,5,3,2616.0,Ideal,H,SI1
512,1.0,5,3,5642.12,Ideal,D,SI1
513,0.31,2,2,549.33,Good,D,SI2
514,0.44,4,5,828.0,Premium,G,VS2
515,0.5,4,6,1876.83,Premium,G,VVS2
516,1.82,3,3,14383.0,Very Good,F,SI1
517,0.4,3,6,1210.2,Very Good,D,VVS2
518,0.33,4,5,619.0,Premium,H,VS2
519,0.71,4,3,2390.0,Premium,G,SI1
520,2.03,3,5,16745.0,Very Good,I,VS2
521,0.25,5,4,434.0,Ideal,H,VS1
522,1.1,4,5,7115.0,Premium,F,VS2
523,0.91,3,4,4399.5,Very Good,F,VVS2
524,0.54,5,4,2107.67,Ideal,D,VS1
525,0.9,2,3,4051.29,Good,D,SI1
526,1.09,2,3,4742.0,Good,H,SI1
527,1.57,5,1,5974.0,Ideal,H,I1
528,0.71,5,4,3408.39,Ideal,F,VS1
529,0.72,2,5,2543.5,Ideal,F,VS2
530,1.12,5,3,5430.12,Ideal,H,SI1
531,0.31,5,8,859.56,Ideal,H,IF
532,0.7,5,3,2551.57,Ideal,D,SI1
533,0.53,5,4,1631.33,Ideal,H,VS1
534,0.3,5,8,827.23,Ideal,H,IF
535,0.73,4,6,2729.67,Premium,F,VVS2
536,0.4,4,4,1107.0,Premium,E,VS1
537,1.09,4,3,5195.67,Premium,H,SI1
538,1.21,4,5,5171.67,Premium,I,VS2
539,0.32,5,6,905.09,Ideal,D,VVS2
540,0.31,5,7,837.67,Ideal,G,WS1
541,0.43,4,8,1056.0,Premium,I,IF
542,0.3,5,5,740.71,Ideal,E,VS2
543,1.0,5,1,2940.0,Ideal,H,I1
544,0.3,5,2,401.0,Ideal,E,SI2
545,0.61,3,5,1861.0,Very Good,G,VS2
546,0.33,3,3,605.56,Very Good,E,SI1
547,0.62,4,5,2009.0,Premium,F,VS2
548,1.1,4,5,6348.6,Premium,G,VS2
549,0.32,5,4,743.33,Ideal,F,VS1
